,Date,Open,High,Low,Close,Volume
226,27-Feb-17,178.00,179.88,177.55,179.43,2892626
227,24-Feb-17,176.75,178.80,176.10,177.44,4197152
228,23-Feb-17,175.97,177.00,175.70,176.86,3502645
229,22-Feb-17,174.98,175.75,174.01,175.36,2832136
230,21-Feb-17,173.92,176.17,173.68,175.56,4231706
231,17-Feb-17,170.41,173.25,170.40,172.71,4982894
232,16-Feb-17,169.74,170.81,168.75,170.81,3070147
233,15-Feb-17,168.42,169.95,168.35,169.3,4033198
234,14-Feb-17,167.70,168.80,167.22,168.5,2580278
235,13-Feb-17,166.45,169.07,166.35,168.03,3765027
236,10-Feb-17,165.25,166.45,164.47,166.23,2689719
237,9-Feb-17,164.67,165.09,164.06,164.28,3451132
238,8-Feb-17,165.00,165.24,163.69,163.81,3041595
239,7-Feb-17,165.00,167.42,164.87,166.5,4243239
240,6-Feb-17,162.42,164.08,162.38,163.98,3110494
241,3-Feb-17,162.99,163.56,162.31,162.4,2981662
242,2-Feb-17,163.22,163.97,160.82,162.26,3791669
243,1-Feb-17,164.25,165.81,163.12,163.97,3138026
244,31-Jan-17,164.96,165.10,163.22,163.42,5350680
245,30-Jan-17,165.92,165.99,163.82,165.57,5456316
246,27-Jan-17,169.21,169.80,167.01,167.7,4883230
247,26-Jan-17,167.25,170.00,167.25,169.12,5436834
248,25-Jan-17,163.59,168.65,163.24,167.36,7480039
249,24-Jan-17,158.58,160.93,157.84,160.55,3927536
250,23-Jan-17,158.94,159.50,157.29,157.84,3931185
